staging_url,intended_production_url,object_type,object_id,title,slug,canonical,indexable_after_launch,sitemap_expected,notes
https://staging2.braveheartspublishing.com/blog/how-stories-build-resilience-in-children/,https://www.braveheartspublishing.com/blog/how-stories-build-resilience-in-children/,post,68,How Stories Help Children Build Resilience and Courage (Ages 6–9),how-stories-build-resilience-in-children,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/why-stem-storytelling-builds-braver-kids/,https://www.braveheartspublishing.com/blog/why-stem-storytelling-builds-braver-kids/,post,100,"Why STEM Storytelling Builds Braver, More Curious Kids (Ages 6–9)",why-stem-storytelling-builds-braver-kids,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/mailchimp-test/,https://www.braveheartspublishing.com/mailchimp-test/,page,212,Mailchimp Test,mailchimp-test,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/read-alouds/,https://www.braveheartspublishing.com/read-alouds/,page,108,Read-Aloud Books & Classroom Resources for Grades 1-3,read-alouds,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/reluctant-readers/,https://www.braveheartspublishing.com/reluctant-readers/,page,107,Reluctant Readers — What Actually Works for Kids Who Hate Books,reluctant-readers,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/mariana-trench/,https://www.braveheartspublishing.com/mariana-trench/,page,106,"Mariana Trench & Ocean Science for Kids — Facts, Books & Adventures",mariana-trench,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/reading-levels/,https://www.braveheartspublishing.com/reading-levels/,page,105,Reading Levels & Lexile Scores,reading-levels,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/bridge-books/,https://www.braveheartspublishing.com/bridge-books/,page,104,Bridge Books for Kids Ages 6-9 — The Complete Guide,bridge-books,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/teachers/,https://www.braveheartspublishing.com/teachers/,page,103,For Teachers,teachers,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/books/,https://www.braveheartspublishing.com/books/,page,102,Books,books,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/contact/,https://www.braveheartspublishing.com/contact/,page,25,Contact,contact,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/,https://www.braveheartspublishing.com/,page,24,Home,home,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/teachers-guide/,https://www.braveheartspublishing.com/teachers-guide/,page,119,Teacher’s Guide,teachers-guide,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/,https://www.braveheartspublishing.com/blog/,page,118,Blog,blog,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/about/,https://www.braveheartspublishing.com/about/,page,116,About,about,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/my-account/,https://www.braveheartspublishing.com/my-account/,page,9,My account,my-account,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/checkout/,https://www.braveheartspublishing.com/checkout/,page,8,Checkout,checkout,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/cart/,https://www.braveheartspublishing.com/cart/,page,7,Cart,cart,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/shop/,https://www.braveheartspublishing.com/shop/,page,6,Shop,shop,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/sample-page/,https://www.braveheartspublishing.com/sample-page/,page,2,Sample Page,sample-page,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-the-amazon-hardcover/,https://www.braveheartspublishing.com/product/adventures-of-charlotte-and-henry-the-amazon-hardcover/,product,20,Adventures of Charlotte and Henry: The Amazon (Hardcover),adventures-of-charlotte-and-henry-the-amazon-hardcover,,no,yes,Published REST object
